of,contrato,empenho,empresa,cnpj,ano,ptres,plano_interno,processo,ted,bem,area,macro_area,intervencao,quantidade,parlamentar,rec_int,pregao,valor_unit,estado,municipio,latitude,longitude,beneficiario,cnpj_bene,contato,telefone,vencimento,responsavel_pela_informacao,entrega_realizada_pelo_fornecedor,processo_pagamento,pagamento,chassi_bt,chassi,serie_bt,serie,placa_bt,placa,ebm,ebm_bt,localizacao,punicao,obs_punicao,doacao,proc_doacao,status_doacao,termo_doacao,data_doacao,detalhe_da_doacao,data_ces,vencimento_do_encago,encargo,encargo_pagamnto,status_vencimento,det_enc,analista_responsavel,localizacao_do_bem,termo_publicado,entrega_fisica,baixa,data_entrega,of_emissao,metodo_doacao,intermedio,evento,item,marca,evento_realizado
7.0173/2021,NULL,2021NE570521,CNH INDUSTRIAL BRASIL LTDA,01.844.555/0005-06,2021,204956 - 15.244.2217.7k66.0001 - Apoio a Projetos de Desenvolvimento Sustentável Local Integrado - Nacional,81000741NA9 - Emenda de Relator,59570.001750/2021-10,TED 090/21 SDRU-MDR,Caminhão compactador 6 m³,Compactadores de resíduos,Compactadores de resíduos,Máquinas e equipamentos,TRUE,ELIANE NOGUEIRA,Não,09/2021 - 7ª SR,505000,PI,Porto,-3.88815400000000011,-42.69982000000000255,PREFEITURA MUNICIPAL DE PORTO,06.554.414/0001-49,Prefeito Domingos Bacelar 98184-0013 / 98818-0312,,2022-10-05,José Orlando,Sim,SIM,Pago,Sim,CHASSI: 93ZA01BDZP8951736,Não,,Sim,PLACA: RSM8A75,317.665-1,Sim,NULL,Não,NULL,Sim,,Termo de Doação,7.0214.00/2022,2022-09-28,Doado em 28/09/2022. ,NULL,NULL,Não Isento,Não,Aguardando Pagamento,Em 19/09/2022 comprovada a GRU,Rogério Cardoso,BENEFICIÁRIO,Sim,Sim,Sim,2022-09-26,Emitida,Direta,NULL,NULL,NULL,,Sim
7.0171/2021,NULL,2021NE570518,FREITAS COMERCIAL AGRÍCOLA EIRELI,27.883.350/0001-08,2021,204957 - 15.244.2217.7k66.0001 - Apoio a Projetos de Desenvolvimento Sustentável Local Integrado - Nacional,81000741NA9 - Emenda de Relator,59570.001753/2021-53,TED 090/21 SDRU-MDR,Grade Aradora 18/26,Mecanização agrícola,Mecanização agrícola,Máquinas e equipamentos,TRUE,ELIANE NOGUEIRA,Não,10/2021 - 7ª SR,50000,PI,Redenção do Gurgueia,-9.47936799999999735,-44.58114499999999225,PREFEITURA MUNICIPAL DE REDENÇÃO DO GURGUÉIA,06.554.380/0001-92,Ângelo José Sena,98159-8865,2022-06-19,João Rodrigues,Sim,59570.000904/2022-37,Pago,Não,,Não,,Não,,317.575-6,Sim,NULL,Não,NULL,Sim,,Termo de Doação,07.0543.00/2023,2024-03-06,Doado em 06/03/2024. Termo de Doação nº  ,NULL,NULL,Isento,Não,NULL,,Rogério Cardoso,BENEFICIÁRIO,Sim,Sim,Sim,2023-11-27,Emitida,Direta,NULL,NULL,NULL,,Sim
7.0121/2021,NULL,2021NE570375,DCJ MÁQUINAS AGRÍCOLAS,07.542.498/0001-63,2021,203710 - 15.244.2217.7k66.0001 - Apoio a Projetos de Desenvolvimento Sustentável Local Integrado - Nacional,00180741PI9 - Emenda de Relator,59570.002082/2021-48,NULL,"Trator agrícola 90 CV, 4x4",Mecanização agrícola,Mecanização agrícola,Máquinas e equipamentos,TRUE,IRACEMA PORTELA,Não,23/2021 - SEDE,188800,PI,Redenção do Gurgueia,-9.47936799999999735,-44.58114499999999225,ASSOCIAÇÃO COMUNITÁRIA RURAL DA COMUNIDADE PEDRINHAS,00.919.418/0001-05,Presidente Edivaldo (89) 98135-7173,,2022-08-29,João Rodrigues,Sim,59570.000676/2022-03,Pago,Sim,CHASSI: KYYDR1118310MS ,Não,,Não,,284.966-3,Sim,NULL,Não,NULL,Sim,,Termo de Doação,7.0150.00/2022,2022-08-11,Doado em 11/08/2022. Termo de Doação nº .,NULL,2023-08-10,Não Isento,Não,NULL,,Tânia Santos,BENEFICIÁRIO,Sim,Sim,Sim,2022-08-10,Emitida,Direta,NULL,NULL,NULL,,Sim
7.0176/2021,NULL,2021NE570524,KOHLER IMPLEMENTOS AGRICOLAS LTDA,92.264.472/0001-70,2021,204957 - 15.244.2217.7k66.0001 - Apoio a Projetos de Desenvolvimento Sustentável Local Integrado - Nacional,81000741NA9 - Emenda de Relator,59570.001753/2021-53,TED 090/21 SDRU-MDR,Arado reversível - 03 discos,Mecanização agrícola,Mecanização agrícola,Máquinas e equipamentos,TRUE,ELIANE NOGUEIRA,Não,10/2021 - 7ª SR,21200,PI,Redenção do Gurgueia,-9.47936799999999735,-44.58114499999999225,PREFEITURA MUNICIPAL DE REDENÇÃO DO GURGUÉIA,06.554.380/0001-92,Ângelo José Sena,98159-8865,2022-08-18,João Rodrigues,Sim,59570.000825/2022-26,Pago,Não,,Sim,SÉRIE: 22/1755 ,Não,,317.524-4,Sim,NULL,Não,NULL,Sim,,Termo de Doação,07.0543.00/2023,2024-03-06,Doado em 06/03/2024. Termo de Doação nº  ,NULL,NULL,Isento,Não,NULL,,Rogério Cardoso,BENEFICIÁRIO,Sim,Sim,Sim,2023-11-27,Emitida,Direta,NULL,NULL,NULL,,Sim
7.0120/2021,NULL,2021NE570374,KOHLER IMPLEMENTOS AGRICOLAS LTDA,92.264.472/0001-70,2021,203710 - 15.244.2217.7k66.0001 - Apoio a Projetos de Desenvolvimento Sustentável Local Integrado - Nacional,00180741PI9 - Emenda de Relator,59570.001753/2021-53,NULL,Grade Aradora 14/26,Mecanização agrícola,Mecanização agrícola,Máquinas e equipamentos,TRUE,IRACEMA PORTELA,Não,10/2021 - 7ª SR,29900,PI,Redenção do Gurgueia,-9.47936799999999735,-44.58114499999999225,ASSOCIAÇÃO COMUNITÁRIA RURAL DA COMUNIDADE PEDRINHAS,00.919.418/0001-05,Presidente Edivaldo (89) 98135-7173,,2022-05-20,João Rodrigues,Sim,59570.000143/2022-13 PAGO,Pago,Não,,Sim,SÉRIE: 22/0156 ,Não,,284.739-3,Sim,NULL,Não,NULL,Sim,,Termo de Doação,7.0150.00/2022,2022-08-11,Doado em 11/08/2022. Termo de Doação nº .,NULL,2023-08-10,Não Isento,Não,NULL,,Tânia Santos,BENEFICIÁRIO,Sim,Sim,Sim,2022-08-10,Emitida,Direta,NULL,NULL,NULL,,Sim
7.0175/2021,NULL,2021NE570523,FREITAS COMERCIAL AGRÍCOLA EIRELI,27.883.350/0001-08,2021,204957 - 15.244.2217.7k66.0001 - Apoio a Projetos de Desenvolvimento Sustentável Local Integrado - Nacional,81000741NA9 - Emenda de Relator,59570.001753/2021-53,TED 090/21 SDRU-MDR,Carreta Agrícola em madeira 4T,Mecanização agrícola,Mecanização agrícola,Máquinas e equipamentos,TRUE,ELIANE NOGUEIRA,Não,10/2021 - 7ª SR,24000,PI,Redenção do Gurgueia,-9.47936799999999735,-44.58114499999999225,PREFEITURA MUNICIPAL DE REDENÇÃO DO GURGUÉIA,06.554.380/0001-92,Ângelo José Sena,98159-8865,2022-06-19,João Rodrigues,Sim,59570.000904/2022-37,Pago,Não,,Não,,Não,,317.699-1,Sim,NULL,Não,NULL,Sim,,Termo de Doação,07.0543.00/2023,2024-03-06,Doado em 06/03/2024. Termo de Doação nº  ,NULL,NULL,Isento,Não,NULL,,Rogério Cardoso,BENEFICIÁRIO,Sim,Sim,Sim,2023-11-27,Emitida,Direta,NULL,NULL,NULL,,Sim
7.0122/2021,NULL,2021NE570376,FREITAS COMERCIAL AGRÍCOLA EIRELI,27.883.350/0001-08,2021,203710 - 15.244.2217.7k66.0001 - Apoio a Projetos de Desenvolvimento Sustentável Local Integrado - Nacional,00180741PI9 - Emenda de Relator,59570.001753/2021-53,NULL,Guincho agrícola,Mecanização agrícola,Mecanização agrícola,Máquinas e equipamentos,TRUE,IRACEMA PORTELA,Não,10/2021 - 7ª SR,2500,PI,Redenção do Gurgueia,-9.47936799999999735,-44.58114499999999225,ASSOCIAÇÃO COMUNITÁRIA RURAL DA COMUNIDADE PEDRINHAS,00.919.418/0001-05,Presidente Edivaldo (89) 98135-7173,,2022-06-19,João Rodrigues,Sim,59570.000904/2022-37,Pago,Não,,Sim,SÉRIE: 395 ,Não,,317.634-8,Sim,NULL,Não,NULL,Sim,,Termo de Doação,7.0154.00/2022,2022-08-25,Doado em 25/08/2022. Termo de Doação nº ,NULL,2023-08-24,Não Isento,Não,NULL,,Tânia Santos,BENEFICIÁRIO,Sim,Sim,Sim,2022-08-10,Emitida,Direta,NULL,NULL,NULL,,Sim
7.0170/2021,NULL,2021NE570517,DCJ MÁQUINAS AGRÍCOLAS,07.542.498/0001-63,2021,204957 - 15.244.2217.7k66.0001 - Apoio a Projetos de Desenvolvimento Sustentável Local Integrado - Nacional,81000741NA9 - Emenda de Relator,59570.002145/2021-66,TED 090/21 SDRU-MDR,"Trator agrícola 75 CV, 4x4",Mecanização agrícola,Mecanização agrícola,Máquinas e equipamentos,TRUE,ELIANE NOGUEIRA,Não,27/2021 - SEDE,179000,PI,Redenção do Gurgueia,-9.47936799999999735,-44.58114499999999225,PREFEITURA MUNICIPAL DE REDENÇÃO DO GURGUÉIA,06.554.380/0001-92,Ângelo José Sena,98159-8865,2023-02-19,João Rodrigues,Sim,59570.000686/2023-11,Pago,Sim,CHASSI: MYYDK1256937MS ,Não,,Não,,317.985-3,Sim,NULL,Não,NULL,Sim,,Termo de Doação,07.0543.00/2023,2024-03-06,Doado em 06/03/2024. Termo de Doação nº  ,NULL,NULL,Isento,Não,NULL,,Rogério Cardoso,BENEFICIÁRIO,Sim,Sim,Sim,2023-11-27,Emitida,Direta,NULL,NULL,NULL,,Sim
7.0177/2021,NULL,2021NE570525,DUNAS COMERCIAL,05.530.834/0001-22,2021,204957 - 15.244.2217.7k66.0001 - Apoio a Projetos de Desenvolvimento Sustentável Local Integrado - Nacional,81000741NA9 - Emenda de Relator,59570.001753/2021-53,TED 090/21 SDRU-MDR,Arado reversível - 03 discos,Mecanização agrícola,Mecanização agrícola,Máquinas e equipamentos,TRUE,ELIANE NOGUEIRA,Não,10/2021 - 7ª SR,26700,PI,Redenção do Gurgueia,-9.47936799999999735,-44.58114499999999225,PREFEITURA MUNICIPAL DE REDENÇÃO DO GURGUÉIA,06.554.380/0001-92,Ângelo José Sena,98159-8865,2022-05-20,João Rodrigues,Sim,59570.000580/2022-37,Pago,Não,,Não,,Não,,284.794-6,Sim,NULL,Não,NULL,Sim,,Termo de Doação,07.0543.00/2023,2024-03-06,Doado em 06/03/2024. Termo de Doação nº ,NULL,NULL,Isento,Não,NULL,,Rogério Cardoso,BENEFICIÁRIO,Sim,Sim,Sim,2023-11-27,Emitida,Direta,NULL,NULL,NULL,,Sim
7.0098/2021,NULL,2021NE570330,DCJ MÁQUINAS AGRÍCOLAS,07.542.498/0001-63,2021,197750 - 15.244.2217.7k66.0022 - Apoio a Projetos de Desenvolvimento Sustentável Local Integrado,30650007PI6 - Emenda - Capitão Fábio Abreu - PR/ PI,59570.002082/2021-48,NULL,"Trator agrícola 75 CV, 4x4",Mecanização agrícola,Mecanização agrícola,Máquinas e equipamentos,TRUE,FÁBIO ABREU,Não,23/2021 - SEDE,188800,PI,Riacho Frio,-10.1243780000000001,-44.95032599999998979,PREFEITURA MUNICIPAL DE RIACHO FRIO,01.612.606/0001-40,Prefeito Jabes LustosaNogueira Junior (89) 98122-8360,,2022-12-21,João Rodrigues,Sim,59570.001330/2022-14,Pago,Sim,CHASSI: MBNYHBKYVNND01747 ,Não,,Não,,317.710-5,Sim,NULL,Não,NULL,Sim,,Termo de Doação,7.0276.00/2022,2022-12-27,Doado em 27/12/2022.,NULL,NULL,Não Isento,Sim,Pago,Em 18/01/2023 comprovada a GRU,Tânia Santos,BENEFICIÁRIO,Sim,Sim,Sim,2023-02-27,Emitida,Direta,NULL,NULL,NULL,,Sim
7.0104/2021,NULL,2021NE570340,FREITAS COMERCIAL AGRÍCOLA EIRELI,27.883.350/0001-08,2021,197750 - 15.244.2217.7k66.0022 - Apoio a Projetos de Desenvolvimento Sustentável Local Integrado,30650007PI6 - Emenda - Capitão Fábio Abreu - PR/ PI,59570.001753/2021-53,NULL,Carreta Agrícola em madeira 4T,Mecanização agrícola,Mecanização agrícola,Máquinas e equipamentos,TRUE,FÁBIO ABREU,Não,10/2021 - 7ª SR,24000,PI,Riacho Frio,-10.1243780000000001,-44.95032599999998979,PREFEITURA MUNICIPAL DE RIACHO FRIO,01.612.606/0001-40,Prefeito Jabes LustosaNogueira Junior (89) 98122-8360,,2022-06-19,João Rodrigues,Sim,59570.000904/2022-37,Pago,Não,,Não,,Não,,317.593-8,Sim,NULL,Não,NULL,Sim,,Termo de Doação,7.0276.00/2022,2022-12-27,Doado em 27/12/2022. ,NULL,NULL,Não Isento,Sim,Pago,Em 18/01/2023 comprovada a GRU,Tânia Santos,BENEFICIÁRIO,Sim,Sim,Sim,2023-02-27,Emitida,Direta,NULL,NULL,NULL,,Sim
7.0101/2021,NULL,2021NE570334,KOHLER IMPLEMENTOS AGRICOLAS LTDA,92.264.472/0001-70,2021,197750 - 15.244.2217.7k66.0022 - Apoio a Projetos de Desenvolvimento Sustentável Local Integrado,30650007PI6 - Emenda - Capitão Fábio Abreu - PR/ PI,59570.001753/2021-53,NULL,Grade Aradora 14/26,Mecanização agrícola,Mecanização agrícola,Máquinas e equipamentos,TRUE,FÁBIO ABREU,Não,10/2021 - 7ª SR,29900,PI,Riacho Frio,-10.1243780000000001,-44.95032599999998979,PREFEITURA MUNICIPAL DE RIACHO FRIO,01.612.606/0001-40,Prefeito Jabes LustosaNogueira Junior (89) 98122-8360,,2022-05-20,João Rodrigues,Sim,59570.000143/2022-13 PAGO,Pago,Não,,Sim,SÉRIE: 22/0145 ,Não,,284.728-3,Sim,NULL,Não,NULL,Sim,,Termo de Doação,7.0276.00/2022,2022-12-27,Doado em 27/12/2022. ,NULL,NULL,Não Isento,Sim,Pago,Em 18/01/2023 comprovada a GRU,Tânia Santos,BENEFICIÁRIO,Sim,Sim,Sim,2023-02-27,Emitida,Direta,NULL,NULL,NULL,,Sim
7.0161/2021,NULL,2021NE570477,DCJ MÁQUINAS AGRÍCOLAS,07.542.498/0001-63,2021,203710 - 15.244.2217.7k66.0001 - Apoio a Projetos de Desenvolvimento Sustentável Local Integrado - Nacional,00180741PI9 - Emenda de Relator,59570.002145/2021-66,NULL,"Trator agrícola 75 CV, 4x4",Mecanização agrícola,Mecanização agrícola,Máquinas e equipamentos,TRUE,JÚLIO CÉSAR,Não,27/2021 - SEDE,179000,PI,Rio Grande do Piauí,-7.78029100000000007,-43.13688599999998985,PREFEITURA MUNICIPAL DE RIO GRANDE DO PIAUÍ,06.554.166/0001-36,Prefeito Mauricio Martins (89) 98128-8019,,2023-02-19,João Rodrigues,Sim,59570.001377/2022-88,Pago,Sim,CHASSI: MBNYHBKYVNNE01958    ,Não,,Não,,317.728-4,Sim,NULL,Não,NULL,Sim,,Termo de Doação,7.0055.00/2023,2023-05-04,Doado em 04/05/2023. ,NULL,NULL,Isento,Não,NULL,,Tânia Santos,BENEFICIÁRIO,Sim,Sim,Sim,2023-05-02,Emitida,Direta,NULL,NULL,NULL,,Sim
7.0126/2021,NULL,2021NE570389,CNH INDUSTRIAL BRASIL LTDA,01.844.555/0005-06,2021,205149 - 15.244.2217.7k66.0001 - Apoio a Projetos de Desenvolvimento Sustentável Local Integrado - Nacional,PI00037K662 - Apoio a Projeto de Desenvolvimento Local Sustentável,59570.001750/2021-10,NULL,Caminhão compactador 6 m³,Compactadores de resíduos,Compactadores de resíduos,Máquinas e equipamentos,TRUE,JÚLIO CÉSAR,Não,09/2021 - 7ª SR,505000,PI,Rio Grande do Piauí,-7.78029100000000007,-43.13688599999998985,PREFEITURA MUNICIPAL DE RIO GRANDE DO PIAUÍ,06.554.166/0001-36,Prefeito Mauricio Martins (89) 98128-8019,,2022-10-05,José Orlando,Sim,59570.001045/2022-01,Pago,Sim,CHASSI: 93ZA01BDZP8951836,Não,,Sim,PLACA: RSM9I01,317.686-7,Sim,NULL,Não,NULL,Sim,,Termo de Doação,7.0241.00/2022,2022-11-03,Doado em 03/11/2022. ,NULL,NULL,Não Isento,Não,Aguardando Pagamento,Em 24/10/2022 comprovada a GRU,Tânia Santos,BENEFICIÁRIO,Sim,Sim,Sim,2022-11-03,Emitida,Direta,NULL,NULL,NULL,,Sim
7.0152/2021,NULL,2021NE570468,FREITAS COMERCIAL AGRÍCOLA EIRELI,27.883.350/0001-08,2021,203710 - 15.244.2217.7k66.0001 - Apoio a Projetos de Desenvolvimento Sustentável Local Integrado - Nacional,00180741PI9 - Emenda de Relator,59570.001753/2021-53,NULL,Guincho agrícola,Mecanização agrícola,Mecanização agrícola,Máquinas e equipamentos,TRUE,JÚLIO CÉSAR,Não,10/2021 - 7ª SR,2500,PI,Rio Grande do Piauí,-7.78029100000000007,-43.13688599999998985,PREFEITURA MUNICIPAL DE RIO GRANDE DO PIAUÍ,06.554.166/0001-36,Prefeito Mauricio Martins (89) 98128-8019,,2022-06-19,João Rodrigues,Sim,59570.000904/2022-37,Pago,Não,,Sim,SÉRIE: 394 ,Não,,317.633-1,Sim,NULL,Não,NULL,Sim,,Termo de Doação,7.0055.00/2023,2023-05-04,Doado em 04/05/2023. ,NULL,NULL,Isento,Não,NULL,,Tânia Santos,BENEFICIÁRIO,Sim,Sim,Sim,2023-05-02,Emitida,Direta,NULL,NULL,NULL,,Sim
7.0096/2021,NULL,2021NE570328,FREITAS COMERCIAL AGRÍCOLA EIRELI,27.883.350/0001-08,2021,197768 - 15.244.2217.7k66.0022 - Apoio a Projetos de Desenvolvimento Sustentável Local Integrado,37440003PI6 - Emenda - Rejane Dias - PT/ PI,59570.001753/2021-53,NULL,Carreta Agrícola em madeira 4T,Mecanização agrícola,Mecanização agrícola,Máquinas e equipamentos,TRUE,REJANE DIAS,Não,10/2021 - 7ª SR,24000,PI,Santa Cruz do Piauí,-7.17849900000000041,-41.76093199999999683,ASSOCIAÇÃO DE PEQUENOS PRODUTORES RURAIS DA LOCALIDADE PRIMAVERA,07.855.319/0001-48,,,2022-06-19,João Rodrigues,Sim,59570.000904/2022-37,Pago,Não,,Não,,Não,,317.693-9,Sim,NULL,Não,NULL,Sim,,Termo de Doação,7.0020.00/2023,2023-01-26,Doado em 26/01/2023.,NULL,NULL,Isento,Não,NULL,,Rogério Cardoso,BENEFICIÁRIO,Sim,Sim,Sim,2023-03-06,Emitida,Direta,NULL,NULL,NULL,,Sim
7.0094/2021,NULL,2021NE570326,FREITAS COMERCIAL AGRÍCOLA EIRELI,27.883.350/0001-08,2021,197768 - 15.244.2217.7k66.0022 - Apoio a Projetos de Desenvolvimento Sustentável Local Integrado,37440003PI6 - Emenda - Rejane Dias - PT/ PI,59570.001753/2021-53,NULL,Grade Aradora 14/26,Mecanização agrícola,Mecanização agrícola,Máquinas e equipamentos,TRUE,REJANE DIAS,Não,10/2021 - 7ª SR,38800,PI,Santa Cruz do Piauí,-7.17849900000000041,-41.76093199999999683,ASSOCIAÇÃO DE PEQUENOS PRODUTORES RURAIS DA LOCALIDADE PRIMAVERA,07.855.319/0001-48,,,2022-06-19,João Rodrigues,Sim,59570.000904/2022-37,Pago,Não,,Não,,Não,,317.562-2,Sim,NULL,Não,NULL,Sim,,Termo de Doação,7.0020.00/2023,2023-01-26,Doado em 26/01/2023.,NULL,NULL,Isento,Não,NULL,,Rogério Cardoso,BENEFICIÁRIO,Sim,Sim,Sim,2023-03-06,Emitida,Direta,NULL,NULL,NULL,,Sim
7.0092/2021,NULL,2021NE570322,DCJ MÁQUINAS AGRÍCOLAS,07.542.498/0001-63,2021,197768 - 15.244.2217.7k66.0022 - Apoio a Projetos de Desenvolvimento Sustentável Local Integrado,37440003PI6 - Emenda - Rejane Dias - PT/ PI,59570.002082/2021-48,NULL,"Trator agrícola 75 CV, 4x4",Mecanização agrícola,Mecanização agrícola,Máquinas e equipamentos,TRUE,REJANE DIAS,Não,23/2021 - SEDE,188800,PI,Santa Cruz do Piauí,-7.17849900000000041,-41.76093199999999683,ASSOCIAÇÃO DE PEQUENOS PRODUTORES RURAIS DA LOCALIDADE PRIMAVERA,07.855.319/0001-48,,,2022-12-21,João Rodrigues,Sim,59570.001330/2022-14,Pago,Sim,CHASSI: MBNYHBKYVNNE01935 ,Não,,Não,,317.712-9,Sim,NULL,Não,NULL,Sim,,Termo de Doação,7.0020.00/2023,2023-01-26,Doado em 26/01/2023.,NULL,NULL,Isento,Não,NULL,,Rogério Cardoso,BENEFICIÁRIO,Sim,Sim,Sim,2023-03-06,Emitida,Direta,NULL,NULL,NULL,,Sim
7.0173/2021,NULL,2021NE570521,CNH INDUSTRIAL BRASIL LTDA,01.844.555/0005-06,2021,204956 - 15.244.2217.7k66.0001 - Apoio a Projetos de Desenvolvimento Sustentável Local Integrado - Nacional,81000741NA9 - Emenda de Relator,59570.001750/2021-10,TED 090/21 SDRU-MDR,Caminhão compactador 6 m³,Compactadores de resíduos,Compactadores de resíduos,Máquinas e equipamentos,TRUE,ELIANE NOGUEIRA,Não,09/2021 - 7ª SR,505000,PI,Santa Cruz dos Milagres,-5.80580799999999897,-41.95064399999999694,PREFEITURA MUNICIPAL DE SANTA CRUZ DOS MILAGRES,41.522.228/0001-29,Prefeito Wilney Rodrigues 98187-8807,,2022-10-05,José Orlando,Sim,SIM,Pago,Sim,CHASSI: 93ZA01BDZP8951757,Não,,Sim,PLACA: RSM8A87,317.660-9,Sim,NULL,Não,NULL,Sim,,Termo de Doação,7.0216.00/2022,2022-09-28,Doado em 28/09/2022. Termo de doação nº   ,NULL,NULL,Não Isento,Não,Aguardando Pagamento,Em 16/09/2022 comprovada a GRU,Rogério Cardoso,BENEFICIÁRIO,Sim,Sim,Sim,2022-09-26,Emitida,Direta,NULL,NULL,NULL,,Sim
7.0142/2021,NULL,2021NE570431,FREITAS COMERCIAL AGRÍCOLA EIRELI,27.883.350/0001-08,2021,203710 - 15.244.2217.7k66.0001 - Apoio a Projetos de Desenvolvimento Sustentável Local Integrado - Nacional,00180741PI9 - Emenda de Relator,59570.001753/2021-53,NULL,Carreta Agrícola em madeira 4T,Mecanização agrícola,Mecanização agrícola,Máquinas e equipamentos,TRUE,ELMANO FERRER,Não,10/2021 - 7ª SR,24000,PI,Santa Filomena,-9.11227799999999988,-45.9116069999999894,PREFEITURA MUNICIPAL DE SANTA FILOMENA,06.554.240/0001-14,Prefeito Carlos Augusto (89) 98817-0071,,2022-06-19,João Rodrigues,Sim,59570.000904/2022-37,Pago,Não,,Não,,Não,,317.603-2,Sim,NULL,Não,NULL,Sim,,Termo de Doação,7.0253.00/2022,2022-11-21,Doado em 21/11/2022. ,NULL,NULL,Não Isento,Sim,Pago,Em 14/11/2022 comprovada a GRU,Tânia Santos,BENEFICIÁRIO,Sim,Sim,Sim,2023-02-24,Emitida,Direta,NULL,NULL,NULL,,Sim
7.0121/2021,NULL,2021NE570375,DCJ MÁQUINAS AGRÍCOLAS,07.542.498/0001-63,2021,203710 - 15.244.2217.7k66.0001 - Apoio a Projetos de Desenvolvimento Sustentável Local Integrado - Nacional,00180741PI9 - Emenda de Relator,59570.002082/2021-48,NULL,"Trator agrícola 90 CV, 4x4",Mecanização agrícola,Mecanização agrícola,Máquinas e equipamentos,TRUE,IRACEMA PORTELA,Não,23/2021 - SEDE,188800,PI,Santa Rosa do Piauí,-6.79580999999999946,-42.28137499999999704,ASSOCIAÇÃO DE PEQUENOS PRODUTORES RURAIS DA LOCALIDADE ANGICO BRANCO,22.476.406/0001-88,Presidente Paulo Henrique (89) 98803-2571,,2022-08-29,João Rodrigues,Sim,59570.000676/2022-03,Pago,Sim,CHASSI: LYYDR1134745MS ,Não,,Não,,284.964-9,Sim,NULL,Não,NULL,Sim,,Termo de Doação,7.0152.00/2022,2022-06-28,Doado em 28/06/2022. Termo de Doação nº .,NULL,2023-08-12,Não Isento,Não,NULL,,Tânia Santos,BENEFICIÁRIO,Sim,Sim,Sim,2022-08-12,Emitida,Direta,NULL,NULL,NULL,,Sim
7.0120/2021,NULL,2021NE570374,KOHLER IMPLEMENTOS AGRICOLAS LTDA,92.264.472/0001-70,2021,203710 - 15.244.2217.7k66.0001 - Apoio a Projetos de Desenvolvimento Sustentável Local Integrado - Nacional,00180741PI9 - Emenda de Relator,59570.001753/2021-53,NULL,Grade Aradora 14/26,Mecanização agrícola,Mecanização agrícola,Máquinas e equipamentos,TRUE,IRACEMA PORTELA,Não,10/2021 - 7ª SR,29900,PI,Santa Rosa do Piauí,-6.79580999999999946,-42.28137499999999704,ASSOCIAÇÃO DE PEQUENOS PRODUTORES RURAIS DA LOCALIDADE ANGICO BRANCO,22.476.406/0001-88,Presidente Paulo Henrique (89) 98803-2571,,2022-05-20,João Rodrigues,Sim,59570.000143/2022-13 PAGO,Pago,Não,,Sim,SÉRIE: 22/0153 ,Não,,284.736-2,Sim,NULL,Não,NULL,Sim,,Termo de Doação,7.0152.00/2022,2022-06-28,Doado em 28/06/2022. Termo de Doação nº .,NULL,2023-08-12,Não Isento,Não,NULL,,Tânia Santos,BENEFICIÁRIO,Sim,Sim,Sim,2022-08-12,Emitida,Direta,NULL,NULL,NULL,,Sim
7.0173/2021,NULL,2021NE570521,CNH INDUSTRIAL BRASIL LTDA,01.844.555/0005-06,2021,204956 - 15.244.2217.7k66.0001 - Apoio a Projetos de Desenvolvimento Sustentável Local Integrado - Nacional,81000741NA9 - Emenda de Relator,59570.001750/2021-10,TED 090/21 SDRU-MDR,Caminhão compactador 6 m³,Compactadores de resíduos,Compactadores de resíduos,Máquinas e equipamentos,TRUE,ELIANE NOGUEIRA,Não,09/2021 - 7ª SR,505000,PI,Santana do Piauí,-6.94696099999999994,-41.51776699999999209,PREFEITURA MUNICIPAL DE SANTANA DO PIAUÍ,41.522.137/0001-93,Prefeita Maria José (89) 98813-7766,,2022-10-05,José Orlando,Sim,SIM,Pago,Sim,CHASSI: 93ZA01BDZP8951841,Não,,Sim,PLACA: RSM9G35,317.650-6,Sim,NULL,Não,NULL,Sim,,Termo de Doação,7.0218.00/2022,2029-09-28,Doado em 28/09/2022. Termo de doação nº   ,NULL,NULL,Não Isento,Não,Aguardando Pagamento,Em 16/09/2022 comprovada a GRU,Rogério Cardoso,BENEFICIÁRIO,Sim,Sim,Sim,2022-09-27,Emitida,Direta,NULL,NULL,NULL,,Sim
7.0173/2021,NULL,2021NE570521,CNH INDUSTRIAL BRASIL LTDA,01.844.555/0005-06,2021,204956 - 15.244.2217.7k66.0001 - Apoio a Projetos de Desenvolvimento Sustentável Local Integrado - Nacional,81000741NA9 - Emenda de Relator,59570.001750/2021-10,TED 090/21 SDRU-MDR,Caminhão compactador 6 m³,Compactadores de resíduos,Compactadores de resíduos,Máquinas e equipamentos,TRUE,ELIANE NOGUEIRA,Não,09/2021 - 7ª SR,505000,PI,Santo Antônio de Lisboa,-6.98676199999999881,-41.22520199999999591,PREFEITURA MUNICIPAL DE SANTO ANTONIO DE LISBOA,06.553.820/0001-97,Prefeito Francisco Karlos 99814-3099,,2022-10-05,José Orlando,Sim,SIM,Pago,Sim,CHASSI: 93ZA01BDZP8951838,Não,,Sim,PLACA: RSM9H37,317.651-3,Sim,NULL,Não,NULL,Sim,,Termo de Doação,7.0219.00/2022,2022-09-28,Doado em 28/09/2022. ,NULL,NULL,Não Isento,Não,Aguardando Pagamento,Em 16/09/2022 comprovada a GRU,Rogério Cardoso,BENEFICIÁRIO,Sim,Sim,Sim,2022-09-26,Emitida,Direta,NULL,NULL,NULL,,Sim
